Date,open,high,low,close,volume
2020-01-02,877.5,886.3,876.6,886.3,70480
2020-01-03,887.1,887.7,879.5,879.5,70389
2020-01-06,877.5,883.3,871.6,872.0,83770
2020-01-07,873.8,877.5,871.7,875.0,82989
2020-01-08,868.0,870.9,863.4,863.7,90489
2020-01-09,869.2,876.1,868.7,874.8,75461
2020-01-10,876.1,884.2,875.4,878.7,81716
2020-01-13,880.9,883.0,877.7,879.5,69842
2020-01-14,880.5,885.6,880.1,882.3,74369
2020-01-15,882.0,884.0,880.1,883.8,59791
2020-01-16,886.5,892.3,885.6,892.1,54457
2020-01-17,895.0,895.3,889.5,893.5,68985
2020-01-20,893.0,897.0,891.6,896.9,60257
2020-01-21,896.0,904.6,896.0,902.2,63328
2020-01-22,902.7,909.1,901.8,909.0,64281
2020-01-30,903.8,904.0,873.0,873.0,105632
2020-01-31,879.1,879.2,850.0,852.0,139324
2020-02-03,847.1,850.0,812.1,841.0,183620
2020-02-04,844.8,850.9,831.2,842.2,194912
2020-02-05,848.5,849.5,835.9,841.8,139923
2020-02-06,846.2,861.2,844.2,860.5,140367
2020-02-07,856.4,859.3,850.7,857.0,125635
2020-02-10,850.4,851.4,845.6,846.1,105052
2020-02-11,849.0,856.4,847.8,850.3,103659
2020-02-12,849.1,864.6,849.1,856.6,128526
2020-02-13,855.8,856.9,849.7,855.1,131133
2020-02-14,859.5,863.8,858.3,861.8,126261
2020-02-17,863.2,865.4,860.4,861.1,47293
2020-02-18,862.6,863.9,856.0,856.0,74707
2020-02-19,857.5,865.8,856.5,865.8,82723
2020-02-21,868.0,872.0,861.8,862.8,112375
2020-02-24,849.9,849.9,829.0,829.0,128478
2020-02-25,834.8,842.0,834.1,841.0,34359
2020-02-26,831.0,836.6,828.1,836.6,17128
2020-02-28,833.0,837.8,816.6,830.1,203810
2020-03-02,834.6,844.9,831.9,839.6,118761
2020-03-03,844.0,844.0,838.0,838.0,17850
2020-03-05,845.0,848.4,836.0,836.0,105182
2020-03-06,827.0,833.6,827.0,832.3,36234
2020-03-09,796.2,798.0,774.1,774.1,131999
2020-03-10,791.3,791.9,773.0,781.5,75616
2020-03-11,742.3,745.0,742.0,745.0,4878
2020-03-13,668.0,719.9,661.0,712.3,228204
2020-03-16,699.0,704.9,666.0,674.9,186102
2020-03-17,690.3,704.9,689.1,700.6,30218
2020-03-19,686.0,687.6,672.3,678.0,139677
2020-03-20,672.1,672.1,672.1,672.1,5682
2020-03-23,642.0,644.9,625.1,625.1,97093
2020-03-24,631.3,634.7,620.2,626.0,113705
2020-03-26,642.3,643.9,626.1,626.1,176064
2020-03-27,619.0,619.0,611.8,615.0,28049
2020-03-30,604.4,604.8,578.7,583.0,202159
2020-03-31,572.7,578.7,569.0,578.7,24102
2020-04-03,603.8,615.6,603.5,613.9,181611
2020-04-06,638.0,656.8,636.3,656.8,123780
2020-04-07,663.0,682.0,662.9,677.0,104257
2020-04-09,681.0,689.4,678.0,680.2,194931
2020-04-10,681.4,682.0,679.0,682.0,15315
2020-04-13,676.7,696.4,676.2,689.7,202584
2020-04-15,705.9,719.5,705.9,717.5,151019
2020-04-17,723.4,724.1,710.5,716.5,178181
2020-04-20,713.6,718.5,710.0,710.0,159470
2020-04-21,674.8,677.0,670.1,670.1,71047
2020-04-22,688.4,688.5,682.7,686.9,27902
2020-04-23,678.9,678.9,678.9,678.9,1775
2020-04-27,706.9,710.0,689.0,692.5,209723
2020-04-28,696.0,699.2,694.0,694.0,30930
2020-05-04,682.0,695.6,680.0,684.0,202008
2020-05-06,696.0,718.0,695.4,718.0,179060
2020-05-07,738.7,746.3,738.5,742.0,33342
2020-05-08,769.0,771.4,730.0,744.0,63890
2020-05-11,758.3,774.6,748.5,762.2,241815
2020-05-12,759.9,764.0,759.0,759.1,19777
2020-05-13,768.4,770.3,765.0,770.3,12973
2020-05-15,773.1,777.0,763.1,766.7,185787
2020-05-18,769.5,788.0,767.1,788.0,157405
2020-05-19,799.5,799.5,799.5,799.5,1406
2020-05-21,807.5,864.0,805.1,864.0,90311
2020-05-22,781.0,782.9,768.9,768.9,93087
2020-05-25,776.5,785.6,773.1,782.0,196856
2020-05-27,810.9,812.8,781.1,782.9,208309
2020-05-28,779.1,790.0,779.0,790.0,25807
2020-06-01,794.5,811.9,793.5,811.0,147528
2020-06-02,807.6,808.5,801.0,808.1,58308
2020-06-03,820.1,821.0,811.8,819.0,204025
2020-06-04,821.0,822.3,813.3,815.0,131414
2020-06-05,813.4,838.3,809.5,825.0,143854
2020-06-08,831.5,845.0,831.0,836.5,159338
2020-06-09,836.5,838.7,827.0,827.0,157697
2020-06-10,829.5,840.8,826.2,839.3,185721
2020-06-11,833.9,838.5,795.0,795.0,191947
2020-06-12,783.5,806.4,779.0,805.0,300905
2020-06-15,796.5,803.5,768.1,775.0,208388
2020-06-16,793.0,801.5,790.9,798.0,212214
2020-06-17,798.6,802.8,793.1,800.7,176293
2020-06-18,794.1,803.6,791.0,797.1,100844
2020-06-19,790.0,800.0,789.0,798.6,130018
2020-06-22,800.2,805.7,793.0,797.9,156049
2020-06-23,791.3,800.4,791.2,796.0,175272
2020-06-24,796.0,798.3,783.5,785.0,143297
2020-06-25,776.0,782.7,775.1,781.0,172194
2020-06-26,787.7,788.3,776.3,778.1,142205
2020-06-29,776.6,776.7,753.7,763.0,218029
2020-06-30,769.0,770.3,751.0,752.5,197428
2020-07-01,755.7,769.8,753.3,768.6,197988
2020-07-02,770.9,777.9,763.4,773.0,219722
2020-07-03,774.8,776.4,769.1,773.8,158544
2020-07-06,780.5,798.3,780.5,798.3,128165
2020-07-07,797.1,806.1,791.9,794.0,192970
2020-07-08,793.1,802.1,791.1,802.1,182464
2020-07-09,801.8,814.3,801.0,810.0,126180
2020-07-10,815.0,818.0,799.1,803.7,216441
2020-07-13,811.0,812.7,809.5,811.8,33305
2020-07-14,799.8,800.4,792.4,798.7,140197
2020-07-15,815.0,818.5,812.6,815.0,85444
2020-07-21,799.0,805.0,793.6,805.0,155450
2020-07-22,804.0,805.4,791.1,792.0,146210
2020-07-23,793.6,798.3,787.7,797.1,175591
2020-07-24,792.7,793.2,759.2,765.0,234252
2020-07-27,746.0,747.0,711.6,711.6,255235
2020-07-28,726.9,748.0,725.6,741.7,322020
2020-07-29,728.0,732.8,698.6,720.7,354161
2020-07-30,726.5,740.6,724.0,730.2,345555
2020-07-31,718.0,735.3,710.3,725.0,344925
2020-08-03,731.0,745.7,731.0,742.0,231793
2020-08-04,757.0,762.0,751.1,762.0,229582
2020-08-05,760.0,778.9,756.7,777.5,228182
2020-08-06,779.0,786.4,768.6,776.0,260055
2020-08-07,773.0,783.4,772.5,780.6,262204
2020-08-10,788.5,794.4,782.4,782.4,175864
2020-08-11,787.5,788.8,778.7,787.0,206382
2020-08-12,783.0,791.0,782.6,791.0,170996
2020-08-13,793.9,799.5,792.1,798.3,142396
2020-08-14,799.5,803.2,788.4,793.5,183869
2020-08-17,793.0,795.5,781.6,792.5,194082
2020-08-18,793.5,795.0,785.0,788.0,193812
2020-08-19,789.3,794.1,786.1,793.0,136376
2020-08-20,789.3,793.1,782.0,785.0,145056
2020-08-21,785.7,792.9,783.0,792.9,142491
2020-08-24,801.5,815.5,801.5,815.5,138551
2020-08-25,822.5,823.5,813.0,813.0,174949
2020-08-26,812.0,819.0,811.5,813.2,156643
2020-08-27,812.6,819.0,812.6,819.0,125238
2020-08-28,823.0,831.1,822.7,823.0,141052
2020-08-31,829.1,830.4,821.5,824.1,137544
2020-09-01,821.4,838.0,821.2,837.4,141485
2020-09-03,847.4,850.0,836.7,850.0,172267
2020-09-04,838.1,846.6,836.6,844.8,171193
2020-09-07,848.0,848.0,821.7,821.7,164502
2020-09-08,824.6,830.7,817.7,829.5,213951
2020-09-09,819.8,831.1,815.0,830.0,220033
2020-09-10,832.4,836.5,823.5,823.5,155251
2020-09-11,824.7,830.1,821.6,827.9,140146
2020-09-14,831.9,836.4,831.2,834.0,98663
2020-09-15,834.2,835.9,832.3,833.0,73651
2020-09-16,832.5,834.6,831.6,834.6,55349
2020-09-17,833.3,836.5,827.2,831.0,68962
2020-09-18,834.9,847.7,833.4,846.3,111328
2020-09-21,846.2,856.8,846.0,848.0,129676
2020-09-22,846.3,853.5,845.3,850.0,132599
2020-09-23,854.5,858.5,851.5,854.1,130207
2020-09-24,851.3,854.2,847.8,853.1,107401
2020-09-25,856.6,856.8,848.5,854.9,98766
2020-09-28,858.5,862.9,856.1,862.9,89829
2020-09-29,864.8,868.0,854.1,854.1,119847
2020-09-30,855.0,860.3,851.3,859.8,157797
2020-10-01,864.0,867.0,861.7,867.0,111415
2020-10-02,865.9,867.5,854.5,861.5,131206
2020-10-05,866.6,869.5,864.1,868.8,87890
2020-10-06,871.8,872.0,864.0,867.7,118790
2020-10-07,867.2,873.0,866.7,867.0,109263
2020-10-08,868.8,869.4,864.7,868.7,105263
2020-10-09,869.3,871.7,868.1,871.6,78816
2020-10-12,874.9,878.6,873.0,875.0,89022
2020-10-13,874.3,876.9,872.5,876.4,71410
2020-10-14,877.4,894.8,877.0,894.8,92690
2020-10-15,898.0,903.0,893.1,899.2,95986
2020-10-16,892.9,898.0,888.6,895.1,137000
2020-10-19,898.0,903.4,896.7,903.4,94144
2020-10-20,901.1,911.2,899.6,911.2,106523
2020-10-21,913.7,918.4,906.2,908.5,121070
2020-10-22,906.3,924.0,903.9,924.0,121745
2020-10-23,927.3,937.1,925.5,935.0,123495
2020-10-26,935.5,949.5,927.0,927.0,126495
2020-10-27,926.0,931.9,917.0,920.0,176384
2020-10-28,919.7,921.9,894.5,895.9,177747
2020-10-29,891.1,899.5,879.7,887.5,213258
2020-10-30,890.7,896.6,875.1,896.6,214277
2020-11-02,900.1,907.0,895.4,904.0,132589
2020-11-03,909.3,910.8,903.7,908.3,116107
2020-11-04,909.0,918.1,906.7,912.3,124814
2020-11-05,913.7,919.9,910.0,910.2,130341
2020-11-06,911.2,912.7,903.3,908.3,110492
2020-11-09,914.2,923.0,913.8,923.0,96358
2020-11-10,935.0,935.3,921.0,921.0,127370
2020-11-11,922.6,922.8,912.2,921.4,139191
2020-11-12,921.4,927.9,920.8,927.9,105662
2020-11-13,927.4,936.0,926.5,935.9,88246
2020-11-16,941.1,942.6,916.0,916.9,182041
2020-11-17,919.4,938.0,918.0,938.0,123134
2020-11-18,938.1,942.4,930.1,936.0,144989
2020-11-19,935.6,946.3,935.5,944.2,82152
2020-11-20,950.2,953.8,944.4,952.4,89599
2020-11-23,952.4,961.0,948.6,959.4,106418
2020-11-24,960.8,965.2,952.4,964.0,153041
2020-11-25,966.0,969.8,960.0,960.0,126335
2020-11-26,959.6,974.9,958.2,970.2,113336
2020-11-27,969.5,975.4,967.5,974.5,90372
2020-11-30,975.1,975.3,966.0,966.0,91667
2020-12-01,959.7,981.0,959.7,980.3,110596
2020-12-02,980.0,986.0,979.0,979.0,97801
2020-12-03,980.9,988.8,980.4,988.0,85272
2020-12-04,988.5,992.6,983.0,987.0,95505
2020-12-07,989.0,996.1,986.2,994.5,79740
2020-12-08,994.7,997.1,990.1,993.0,96660
2020-12-09,995.6,1008.0,995.1,1008.0,92051
