Date,ACB,BID,BSR,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MCH,MSN,MWG,SAB,SHB,SSB,SSI,STB,TCB,TCX,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VPL,VRE
2020-01-02,5720.0,24480.0,4240.0,9690.0,20900.0,58620.0,9920.0,5500.0,7390.0,2600.0,4950.0,29340.0,46160.0,36330.0,78960.0,2170.0,8260.0,4840.0,10200.0,11010.0,40370.0,38900.0,30140.0,3550.0,51110.0,113850.0,69720.0,6580.0,85500.0,33170.0
2020-01-03,5720.0,24380.0,4190.0,9610.0,20540.0,58750.0,10250.0,5450.0,7440.0,2600.0,4960.0,29340.0,46570.0,35800.0,79150.0,2100.0,8260.0,4800.0,10200.0,10940.0,40370.0,38520.0,30250.0,3530.0,51240.0,113850.0,69950.0,6540.0,85500.0,33420.0
2020-01-06,5600.0,23890.0,4400.0,9630.0,20340.0,60610.0,10080.0,5340.0,7390.0,2510.0,4890.0,29010.0,45830.0,35630.0,78870.0,2080.0,8260.0,4790.0,10050.0,10670.0,40370.0,37480.0,29610.0,3470.0,50880.0,112310.0,69420.0,6380.0,85500.0,32500.0
2020-01-07,5600.0,24380.0,4280.0,9790.0,20720.0,60180.0,9820.0,5280.0,7290.0,2510.0,4900.0,29090.0,46000.0,35900.0,78960.0,2080.0,8260.0,4800.0,10150.0,10730.0,40370.0,37610.0,29750.0,3470.0,50970.0,112230.0,70070.0,6520.0,85500.0,32790.0
2020-01-08,5500.0,24590.0,4190.0,9760.0,20260.0,60120.0,9470.0,5280.0,7220.0,2510.0,4830.0,28520.0,45350.0,35020.0,78670.0,2080.0,8260.0,4680.0,9980.0,10530.0,40370.0,37270.0,29290.0,3420.0,50790.0,111380.0,70230.0,6440.0,85500.0,31580.0
2020-01-09,5570.0,25920.0,4080.0,10120.0,20540.0,58990.0,9640.0,5440.0,7390.0,2510.0,4910.0,29130.0,46160.0,35560.0,80000.0,2100.0,8260.0,4720.0,10150.0,10670.0,40370.0,38000.0,29580.0,3420.0,50970.0,112460.0,70140.0,6650.0,85500.0,32840.0
2020-01-10,5650.0,26780.0,3980.0,10620.0,20510.0,59430.0,9820.0,5560.0,7450.0,2630.0,5000.0,28930.0,45750.0,35740.0,82280.0,2310.0,8260.0,4810.0,10500.0,10710.0,40370.0,38340.0,30000.0,3420.0,51020.0,112460.0,70290.0,6740.0,85500.0,32790.0
2020-01-13,5690.0,26160.0,3870.0,10470.0,20350.0,59070.0,9920.0,5520.0,7470.0,2600.0,4970.0,28480.0,46160.0,35560.0,82430.0,2330.0,8260.0,4810.0,10400.0,10620.0,40370.0,38300.0,30640.0,3490.0,51060.0,112690.0,69420.0,6590.0,85500.0,32590.000000000004
2020-01-14,5840.0,26160.0,3820.0,10600.0,20340.0,58810.0,9820.0,5540.0,7700.0,2600.0,5020.0,28110.0,45830.0,35370.0,82100.0,2330.0,8260.0,4840.0,10300.0,10600.0,40370.0,38300.0,30640.0,3530.0,51110.0,112310.0,69660.0,6770.0,85500.0,32590.000000000004
2020-01-15,5800.0,26620.0,3770.0,10650.0,20340.0,58260.0,9730.0,5490.0,7740.0,2600.0,5010.0,26880.0,45750.0,35400.0,82470.0,2400.0,8260.0,4840.0,10250.0,10600.0,40370.0,38260.0,30640.0,3490.0,51110.0,112310.0,69660.0,6930.0,85500.0,32060.000000000004
2020-01-16,5940.0,28180.0,3820.0,11230.0,20670.0,57820.0,9820.0,5670.0,7780.0,2630.0,5130.0,27100.0,45520.0,35840.0,82220.0,2420.0,8260.0,5020.0,10400.0,10780.0,40370.0,38340.0,30570.0,3530.0,51110.0,112310.0,69890.0,7010.0,85500.0,31680.0
2020-01-17,5920.0,27920.0,3770.0,11260.0,20540.0,57760.0,10010.0,5640.0,7700.0,2630.0,5130.0,28060.0,44540.0,36040.0,82640.0,2360.0,8260.0,5070.0,10600.0,10830.0,40370.0,40480.0,30530.0,3510.0,51060.0,114000.0,70140.0,7030.0,85500.0,31480.0
2020-01-20,6040.0,27830.0,3870.0,11330.0,20460.0,57880.0,10080.0,5590.0,7850.0,2660.0,5130.0,28190.0,43980.0,36830.0,83170.0,2330.0,8260.0,5070.0,10700.0,10810.0,40370.0,40260.0,30530.0,3530.0,51060.0,113080.0,70350.0,7210.0,85500.0,30900.0
2020-01-21,6090.0,28180.0,4400.0,11400.0,19790.0,58810.0,10340.0,5720.0,7960.0,2660.0,5260.0,28310.0,44140.0,37260.0,82100.0,2400.0,8260.0,5070.0,10900.0,11130.0,40370.0,40260.0,31070.0,3590.0,51060.0,113080.0,71530.0,7550.0,85500.0,31480.0
2020-01-22,6090.0,28970.0,4340.0,11540.0,20140.0,58810.0,10610.0,5740.0,8100.0,2720.0,5230.0,27700.0,43240.0,37010.0,81940.0,2480.0,8260.0,5080.0,10900.0,11200.0,40370.0,40020.0,31740.0,3590.0,51060.0,112690.0,71720.0,7570.0,85500.0,31480.0
