Date,ACB,BID,BSR,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MCH,MSN,MWG,SAB,SHB,SSB,SSI,STB,TCB,TCX,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VPL,VRE
2020-01-02,1163109.0,872620,1232420.0,4347610,896720,141260,762975.0,2142970,4232230,416346.0,2849190,23053.0,518870,716290,28600,5266138.0,0.0,991450,2914530,1387610,0.0,386290,238600,371400.0,440280,419710,352700,1721220,0.0,581190
2020-01-03,1055528.0,603940,2024568.0,3626640,2047880,218980,1116553.0,1305640,7832210,79257.0,3476230,6150.0,777690,791020,17590,2756634.0,0.0,703890,1975250,756700,0.0,536130,394470,391030.0,248940,350790,625390,1416280,0.0,1272890
2020-01-06,1286035.0,794490,3836947.0,3173480,1091660,431090,408280.0,1309500,5371060,118620.0,2609270,17517.0,582020,389250,35850,2225405.0,0.0,1348120,2302490,1162990,0.0,880110,1025270,359794.0,301910,334350,495910,1655410,0.0,682790
2020-01-07,1050934.0,526890,1378587.0,4163600,837240,142800,537260.0,865630,4871220,144955.0,2684180,11477.0,319680,648230,15580,1900049.0,0.0,643090,2154970,1043300,0.0,1013270,590360,114862.0,183910,360760,459520,1298520,0.0,356780
2020-01-08,2304937.0,1230830,3326547.0,9864300,1814290,439260,503454.0,1954710,6421130,197038.0,4163950,6940.0,737690,742390,30610,4952178.0,0.0,2622960,4490220,1710390,0.0,722280,553690,516075.0,468910,417200,837710,2417600,0.0,919210
2020-01-09,1422248.0,1573190,2652190.0,8592300,967050,320980,200020.0,2024450,4613440,310444.0,3298470,2662.0,505680,318070,54030,4564607.0,0.0,1149130,2443480,2009840,0.0,722670,421250,559354.0,273870,451440,624130,3379270,0.0,1054800
2020-01-10,2371501.0,1506410,2137026.0,14701830,1018650,160820,409717.0,1917360,10006180,495515.0,8593950,4825.0,524930,412180,55770,12074293.0,0.0,2067400,10754160,3679110,0.0,1526920,699780,720409.0,159120,483900,596280,3102860,0.0,543040
2020-01-13,1523181.0,544740,2759130.0,5317470,786760,355190,185830.0,866380,4456520,198130.0,2921820,4550.0,413810,288240,22590,6713670.0,0.0,1125380,3390120,892360,0.0,1044640,882160,527921.0,146680,466570,412880,1278670,0.0,417280
2020-01-14,2851982.0,752200,1688991.0,7040780,721680,166850,290900.0,813000,9565300,487555.0,4557920,4200.0,349410,320810,9340,4214729.0,0.0,1066740,1811340,1804950,0.0,1001130,361600,359137.0,101150,486130,335180,2049630,0.0,562730
2020-01-15,1158657.0,695290,934445.0,4364850,940870,201400,188608.0,712440,5881520,566760.0,3625930,14310.0,373290,293160,22540,5862093.0,0.0,830260,2479650,1929280,0.0,1471860,420650,379187.0,205600,422930,681740,2024320,0.0,549700
2020-01-16,2819687.0,1004080,2902912.0,8002680,1942970,508390,463400.0,2717120,6855030,493302.0,8169550,9809.0,290210,521080,9270,5813973.0,0.0,2384770,9556920,4383720,0.0,1171580,441860,690910.0,186740,404540,545090,2814400,0.0,979630
2020-01-17,2706194.0,643490,1181300.0,6412750,1388810,281760,355706.0,2061530,6329150,636570.0,4776330,3600.0,496940,435030,12580,5603239.0,0.0,2832740,6094750,1875160,0.0,2219790,552190,805973.0,169100,506950,375030,2388200,0.0,872560
2020-01-20,4443379.0,761650,1126220.0,4737420,1227100,134180,309240.0,939700,5711790,744140.0,4308990,10055.0,541490,1463940,17170,5686173.0,0.0,1288010,4135740,2019730,0.0,832190,711830,1253362.0,370670,341310,493600,2478120,0.0,1070940
2020-01-21,1775816.0,609600,9879031.0,6063350,4351820,180960,435320.0,1656380,5911660,549545.0,5239140,892.0,369330,692200,52160,3921607.0,0.0,1541100,7604200,7458340,0.0,749590,653680,1106015.0,181510,369200,853940,5349510,0.0,908080
2020-01-22,1574379.0,781390,2282520.0,4747210,3165650,162790,540290.0,2241630,8919900,410662.0,4991520,16409.0,540210,460240,11510,5596112.0,0.0,1729500,7030700,2309150,0.0,877710,673070,584350.0,371780,365030,794440,2728060,0.0,932500
2020-01-30,4250097.0,1388710,2743532.0,11319200,2638460,379940,372714.0,1695770,13028790,1097030.0,8995010,4533.0,1591110,1315710,38140,9105370.0,0.0,2412920,8264520,4013510,0.0,3541560,1414000,848096.0,682720,565700,1533720,4277050,0.0,2002220
2020-01-31,4243264.0,1154570,2822569.0,11815850,4118150,551680,655457.0,1891250,10994970,1697740.0,8065490,10455.0,791350,1434750,24730,18935757.0,0.0,4457280,6261030,6118460,0.0,1270160,1284370,988717.0,831740,489090,1915820,4664680,0.0,2322570
2020-02-03,4430186.0,1562560,3747796.0,13869450,3602970,565980,965930.0,1825080,12079180,2169576.0,14421110,17950.0,1290570,1949930,16880,27397994.0,0.0,3144570,7105100,4258750,0.0,1457070,755310,1299169.0,760420,1089690,2289150,4531780,0.0,1977600
