Date,Open,High,Low,Close,Volume
2020-01-02,7240.0,7390.0,7190.0,7390.0,4232230
2020-01-03,7450.0,7500.0,7400.0,7440.0,7832210
2020-01-06,7390.0,7470.0,7340.0,7390.0,5371060
2020-01-07,7430.0,7450.0,7260.0,7290.0,4871220
2020-01-08,7240.0,7280.0,7130.0,7220.0,6421130
2020-01-09,7260.0,7440.0,7260.0,7390.0,4613440
2020-01-10,7430.0,7560.0,7400.0,7450.0,10006180
2020-01-13,7450.0,7520.0,7430.0,7470.0,4456520
2020-01-14,7470.0,7710.0,7450.0,7700.0,9565300
2020-01-15,7710.0,7800.0,7670.0,7740.0,5881520
2020-01-16,7700.0,7800.0,7690.0,7780.0,6855030
2020-01-17,7780.0,7900.0,7670.0,7700.0,6329150
2020-01-20,7700.0,7850.0,7610.0,7850.0,5711790
2020-01-21,7930.0,8010.0,7870.0,7960.0,5911660
2020-01-22,7960.0,8140.000000000001,7960.0,8100.0,8919900
2020-01-30,7870.0,7980.0,7690.0,7780.0,13028790
2020-01-31,7700.0,7780.0,7430.0,7430.0,10994970
2020-02-03,7180.0,7640.0,6990.0,7560.0,12079180
2020-02-04,7600.0,7640.0,7430.0,7570.0,8086090
2020-02-05,7650.0,7700.0,7450.0,7530.0,6938550
2020-02-06,7500.0,7760.0,7480.0,7760.0,9214150
2020-02-07,7760.0,7780.0,7450.0,7500.0,8120240
2020-02-10,7390.0,7600.0,7380.0,7500.0,4794830
2020-02-11,7530.0,7570.0,7220.0,7260.0,12551620
2020-02-12,7240.0,7440.0,7220.0,7330.0,9581940
2020-02-13,7320.0,7350.0,7260.0,7290.0,5263180
2020-02-14,7260.0,7320.0,7190.0,7290.0,5052290
2020-02-17,7290.0,7340.0,7260.0,7320.0,2716840
2020-02-18,7340.0,7340.0,7180.0,7180.0,7456030
2020-02-19,7180.0,7220.0,7120.0,7160.0,5481650
2020-02-20,7220.0,7320.0,7160.0,7320.0,5225250
2020-02-21,7320.0,7330.0,7240.0,7250.0,4513960
2020-02-24,7010.0,7130.0,6990.0,6990.0,12938030
2020-02-25,6950.0,7120.0,6950.0,7120.0,5303830
2020-02-26,7010.0,7080.0,6990.0,7010.0,4502880
2020-02-27,6990.0,7110.0,6990.0,7070.0,3318240
2020-02-28,6950.0,7030.0,6850.0,6880.0,6583970
2020-03-02,6840.0,6940.0,6840.0,6870.0,3957540
2020-03-03,7030.0,7030.0,6870.0,6870.0,4411940
2020-03-04,6890.0,6950.0,6880.0,6880.0,2946050
2020-03-05,6950.0,6980.0,6880.0,6880.0,2594810
2020-03-06,6880.0,6910.0,6850.0,6890.0,3035470
2020-03-09,6430.0,6640.0,6430.0,6430.0,16567350
2020-03-10,6310.0,6710.0,6310.0,6670.0,8137980
2020-03-11,6680.0,6710.0,6220.0,6330.0,8527920
2020-03-12,6020.0,6100.0,5900.0,5930.0,13041040
2020-03-13,5550.0,6060.0,5530.0,5860.0,12836580
2020-03-16,5910.0,6120.0,5840.0,5880.0,9283920
2020-03-17,5730.0,5950.0,5730.0,5910.0,6053400
2020-03-18,5980.0,6190.0,5950.0,6060.0,10396530
2020-03-19,5980.0,6000.0,5820.0,5900.0,7773200
2020-03-20,5930.0,5950.0,5730.0,5730.0,13401260
2020-03-23,5350.0,5550.0,5330.0,5330.0,12947170
2020-03-24,5240.0,5340.0,5130.0,5260.0,13831390
2020-03-25,5500.0,5500.0,5350.0,5480.0,7758210
2020-03-26,5400.0,5420.0,5210.0,5220.0,8514960
2020-03-27,5210.0,5240.0,4870.0,4990.0,13442640
2020-03-30,4720.0,5150.0,4710.0,5040.0,10870540
2020-03-31,5040.0,5340.0,4710.0,5190.0,11163440
2020-04-01,5150.0,5390.0,5130.0,5320.0,4859650
2020-04-03,5320.0,5450.0,5290.0,5440.0,6503290
2020-04-06,5600.0,5800.0,5510.0,5800.0,10207240
2020-04-07,5860.0,5880.0,5620.0,5850.0,7655220
2020-04-08,5670.0,5780.0,5640.0,5760.0,5106690
2020-04-09,5780.0,5850.0,5720.0,5720.0,7134720
2020-04-10,5700.0,5850.0,5640.0,5780.0,5558450
2020-04-13,5780.0,6000.0,5760.0,5950.0,9039420
2020-04-14,5950.0,6150.0,5910.0,6150.0,8744760
2020-04-15,6160.0,6250.0,6150.0,6190.0,5960450
2020-04-16,6150.0,6280.0,6080.0,6230.0,6665670
2020-04-17,6230.0,6400.0,6220.0,6370.0,8818780
2020-04-20,6460.0,6630.0,6330.0,6530.0,9422860
2020-04-21,6390.0,6550.0,6220.0,6220.0,11934810
2020-04-22,6310.0,6560.0,6250.0,6400.0,11038450
2020-04-23,6560.0,6750.0,6560.0,6660.0,8345940
2020-04-24,6680.0,6840.0,6560.0,6800.0,8301090
2020-04-27,6850.0,6950.0,6730.0,6750.0,6636160
2020-04-28,6770.0,6800.0,6550.0,6590.0,7687010
2020-04-29,6630.0,6680.0,6460.0,6630.0,7447050
2020-05-04,6630.0,6640.0,6460.0,6460.0,4834580
2020-05-05,6590.0,6670.0,6560.0,6590.0,5894530
2020-05-06,6640.0,6840.0,6630.0,6840.0,7620940
2020-05-07,6870.0,7260.0,6870.0,7260.0,14733250
2020-05-08,7330.0,7440.0,7210.0,7210.0,12484610
2020-05-11,7380.0,7430.0,7180.0,7380.0,7220240
2020-05-12,7280.0,7350.0,7210.0,7280.0,10527620
2020-05-13,7220.0,7450.0,7180.0,7430.0,9608210
2020-05-14,7330.0,7430.0,7290.0,7380.0,6517150
2020-05-15,7380.0,7400.0,7210.0,7240.0,7931980
