Date,Open,High,Low,Close,Volume
2020-01-02,38650.0,39150.0,38430.0,38900.0,386290
2020-01-03,39190.0,39330.0,38520.0,38520.0,536130
2020-01-06,38220.0,38340.0,37480.0,37480.0,880110
2020-01-07,37270.0,37660.0,36590.0,37610.0,1013270
2020-01-08,37230.0,37660.0,36930.0,37270.0,722280
2020-01-09,37570.0,38080.0,37570.0,38000.0,722670
2020-01-10,38000.0,38730.0,37660.0,38340.0,1526920
2020-01-13,38130.0,38480.0,38130.0,38300.0,1044640
2020-01-14,38340.0,38560.0,38170.0,38300.0,1001130
2020-01-15,38390.0,38390.0,38040.0,38260.0,1471860
2020-01-16,38260.0,38690.0,38080.0,38340.0,1171580
2020-01-17,38340.0,40480.0,38340.0,40480.0,2219790
2020-01-20,40480.0,40610.0,40060.0,40260.0,832190
2020-01-21,40230.0,40520.0,40100.0,40260.0,749590
2020-01-22,40260.0,40700.0,39890.0,40020.0,877710
2020-01-30,39450.0,39590.0,37270.0,38080.0,3541560
2020-01-31,37700.0,38480.0,37570.0,38000.0,1270160
2020-02-03,36030.0,38650.0,35550.0,38000.0,1457070
2020-02-04,38130.0,38480.0,37570.0,38480.0,1118410
2020-02-05,38650.0,38730.0,38040.0,38080.0,731310
2020-02-06,38300.0,38940.0,38040.0,38300.0,889570
2020-02-07,38480.0,38900.0,38130.0,38560.0,1170540
2020-02-10,38220.0,38340.0,37910.0,38080.0,607060
2020-02-11,38130.0,38340.0,38080.0,38220.0,520210
2020-02-12,38480.0,38480.0,38170.0,38300.0,609750
2020-02-13,38220.0,38340.0,38040.0,38260.0,633270
2020-02-14,38130.0,38480.0,38130.0,38260.0,432800
2020-02-17,38260.0,38520.0,38170.0,38300.0,343900
2020-02-18,38390.0,38390.0,38130.0,38300.0,432880
2020-02-19,38130.0,38340.0,38130.0,38340.0,264010
2020-02-20,38430.0,38730.0,38220.0,38340.0,541120
2020-02-21,38340.0,38340.0,38130.0,38130.0,898350
2020-02-24,36840.0,37700.0,36840.0,37360.0,995910
2020-02-25,36840.0,37270.0,36750.0,36930.0,1229530
2020-02-26,36840.0,36840.0,35990.0,36410.0,1163030
2020-02-27,35990.0,36240.0,35510.0,35990.0,1227980
2020-02-28,34320.0,35730.0,34320.0,35300.0,1710080
2020-03-02,34910.0,35220.0,34830.0,35040.0,668980
2020-03-03,35770.0,35770.0,35220.0,35220.0,848270
2020-03-04,35130.0,35130.0,34690.0,35000.0,581530
2020-03-05,35220.0,35810.0,35220.0,35600.0,833710
2020-03-06,35550.0,36710.0,35130.0,36200.0,884750
2020-03-09,33840.0,34650.0,33670.0,33670.0,1209500
2020-03-10,33410.0,34230.0,32299.999999999996,34230.0,1433230
2020-03-11,34440.0,34440.0,31870.0,33000.0,1806190
2020-03-12,30840.0,31280.0,30710.0,30710.0,1582400
2020-03-13,28570.0,31280.0,28570.0,30430.0,1859750
2020-03-16,30430.0,30430.0,28490.0,28750.0,1022550
2020-03-17,27240.0,28920.0,27240.0,28920.0,1364590
2020-03-18,29140.0,30290.0,29140.0,29680.0,1099800
2020-03-19,28830.0,29430.0,28270.0,28270.0,1191150
2020-03-20,28270.0,28400.0,26350.0,26350.0,2763360
2020-03-23,24670.0,25060.0,24510.0,24510.0,1875070
2020-03-24,24510.0,25020.0,24250.0,24850.0,1498070
2020-03-25,25710.0,26560.0,25580.0,26560.0,1835730
2020-03-26,26560.0,27720.0,26350.0,27070.0,1484590
2020-03-27,27120.0,28230.0,26780.0,27460.0,1569620
2020-03-30,25750.0,26310.0,25620.0,26130.0,1637330
2020-03-31,26350.0,27460.0,25710.0,26560.0,957500
2020-04-01,26350.0,28230.0,26350.0,27850.0,1229320
2020-04-03,27850.0,28400.0,27420.0,28060.0,1726690
2020-04-06,28920.0,29260.0,28270.0,29140.0,2111200
2020-04-07,29140.0,29560.0,28610.0,29210.0,1773570
2020-04-08,28700.0,29210.0,28610.0,28920.0,1778380
2020-04-09,29140.0,30840.0,29140.0,30430.0,1795170
2020-04-10,30430.0,30790.0,29820.0,30250.0,1599380
2020-04-13,30250.0,30750.0,29990.0,30340.0,1046830
2020-04-14,30210.0,30340.0,29050.0,29940.0,1944570
2020-04-15,29860.0,30550.0,29860.0,30380.0,1017740
2020-04-16,29990.0,30510.0,29900.0,30510.0,1057050
2020-04-17,30630.0,30750.0,30380.0,30590.0,1473140
2020-04-20,30710.0,31020.0,30340.0,30790.0,1026030
2020-04-21,30430.0,30630.0,29050.0,30630.0,2159110
2020-04-22,29560.0,30470.0,29560.0,29680.0,1612290
