Date,Open,High,Low,Close,Volume
2020-01-02,6420.0,6630.0,6420.0,6580.0,1721220
2020-01-03,6590.0,6710.0,6520.0,6540.0,1416280
2020-01-06,6460.0,6520.0,6380.0,6380.0,1655410
2020-01-07,6400.0,6520.0,6400.0,6520.0,1298520
2020-01-08,6460.0,6520.0,6380.0,6440.0,2417600
2020-01-09,6500.0,6670.0,6490.0,6650.0,3379270
2020-01-10,6650.0,6820.0,6650.0,6740.0,3102860
2020-01-13,6730.0,6770.0,6590.0,6590.0,1278670
2020-01-14,6630.0,6820.0,6610.0,6770.0,2049630
2020-01-15,6770.0,6950.0,6770.0,6930.0,2024320
2020-01-16,6950.0,7040.0,6930.0,7010.0,2814400
2020-01-17,7040.0,7100.0,6950.0,7030.0,2388200
2020-01-20,6990.0,7210.0,6970.0,7210.0,2478120
2020-01-21,7280.0,7570.0,7240.0,7550.0,5349510
2020-01-22,7530.0,7630.0,7410.0,7570.0,2728060
2020-01-30,7370.0,7490.0,7150.0,7280.0,4277050
2020-01-31,7210.0,7410.0,7190.0,7190.0,4664680
2020-02-03,6930.0,7510.0,6810.0,7240.0,4531780
2020-02-04,7280.0,7510.0,7210.0,7510.0,4567030
2020-02-05,7640.0,7880.0,7610.0,7740.0,6401650
2020-02-06,8170.0,8170.0,7550.0,8170.0,8466820
2020-02-07,8039.999999999999,8210.0,7990.0,8130.000000000001,5941140
2020-02-10,7950.0,8109.999999999999,7880.0,7880.0,4827980
2020-02-11,7880.0,8140.000000000001,7860.0,8140.000000000001,4954840
2020-02-12,8300.0,8600.0,8220.0,8280.0,6169610
2020-02-13,8210.0,8530.0,8130.000000000001,8530.0,3721290
2020-02-14,8650.0,8810.0,8530.0,8710.0,5754040
2020-02-17,8690.0,8740.0,8570.0,8690.0,2799180
2020-02-18,8650.0,8850.0,8620.0,8780.0,2659640
2020-02-19,8850.0,8940.0,8810.0,8900.0,3026480
2020-02-20,9020.0,9150.0,8960.0,9150.0,3989640
2020-02-21,9140.0,9380.0,9040.0,9230.0,4755490
2020-02-24,8960.0,9070.0,8590.0,8590.0,8083080
2020-02-25,8400.0,9070.0,8400.0,9070.0,6045630
2020-02-26,8900.0,9260.0,8870.0,9070.0,4144870
2020-02-27,8960.0,9150.0,8920.0,9080.0,2905090
2020-02-28,8890.0,8960.0,8590.0,8730.0,4992410
2020-03-02,8690.0,8740.0,8590.0,8620.0,3124310
2020-03-03,8810.0,8850.0,8690.0,8710.0,2436430
2020-03-04,8640.0,8740.0,8510.0,8710.0,2990200
2020-03-05,8810.0,9120.0,8730.0,8920.0,4983410
2020-03-06,8780.0,8870.0,8730.0,8810.0,2153680
2020-03-09,8200.0,8410.0,8200.0,8200.0,3853010
2020-03-10,8200.0,8500.0,7860.0,8330.0,4663130
2020-03-11,8330.0,8460.0,7760.0,7760.0,6458650
2020-03-12,7240.0,7460.0,7230.0,7230.0,3085820
2020-03-13,6730.0,7390.0,6730.0,7210.0,5358840
2020-03-16,7100.0,7120.0,6710.0,6710.0,5035890
2020-03-17,6280.0,6950.0,6250.0,6900.0,6240600
2020-03-18,6900.0,7010.0,6700.0,6920.0,3264600
2020-03-19,6730.0,6730.0,6440.0,6670.0,3825580
2020-03-20,6670.0,6840.0,6590.0,6740.0,2835760
2020-03-23,6470.0,6470.0,6280.0,6280.0,3494590
2020-03-24,6280.0,6460.0,5960.0,6250.0,5084480
2020-03-25,6540.0,6560.0,6320.0,6500.0,2774030
2020-03-26,6400.0,6460.0,6210.0,6280.0,3019180
2020-03-27,6280.0,6300.0,6020.0,6270.0,4778990
2020-03-30,5840.0,5900.0,5840.0,5840.0,853200
2020-03-31,5840.0,5910.0,5430.0,5430.0,4500760
2020-04-01,5430.0,5610.0,5130.0,5520.0,3686810
2020-04-03,5520.0,5720.0,5510.0,5630.0,3237360
2020-04-06,5770.0,6000.0,5740.0,6000.0,5262310
2020-04-07,6080.0,6230.0,5970.0,6230.0,4306110
2020-04-08,6080.0,6140.0,5960.0,6050.0,3738500
2020-04-09,6050.0,6190.0,6000.0,6020.0,5977360
2020-04-10,5960.0,6020.0,5840.0,5970.0,3400010
2020-04-13,6100.0,6380.0,6080.0,6380.0,4611900
2020-04-14,6750.0,6820.0,6470.0,6820.0,8107960
2020-04-15,6970.0,7240.0,6900.0,6970.0,4994760
2020-04-16,6740.0,6970.0,6730.0,6970.0,3778190
2020-04-17,7050.0,7100.0,6770.0,6880.0,5009510
2020-04-20,6950.0,6950.0,6670.0,6730.0,3363240
2020-04-21,6560.0,6700.0,6270.0,6270.0,5653730
2020-04-22,6080.0,6690.0,6080.0,6470.0,5779550
2020-04-23,6630.0,6630.0,6380.0,6380.0,3739790
2020-04-24,6380.0,6560.0,6270.0,6560.0,3362450
2020-04-27,7030.0,7030.0,6710.0,6730.0,8928000
2020-04-28,6700.0,6860.0,6560.0,6730.0,2453910
2020-04-29,6560.0,6750.0,6560.0,6560.0,4670320
2020-05-04,6270.0,6540.0,6250.0,6420.0,3624730
2020-05-05,6490.0,6560.0,6400.0,6520.0,2323990
2020-05-06,6520.0,6690.0,6500.0,6690.0,2650480
2020-05-07,6670.0,6860.0,6670.0,6860.0,3376550
2020-05-08,6900.0,7320.0,6900.0,7300.0,14723540
2020-05-11,7720.0,7740.0,7440.0,7720.0,8508370
2020-05-12,7760.0,7760.0,7480.0,7700.0,6834010
2020-05-13,7600.0,7760.0,7390.0,7660.0,7305760
2020-05-14,7600.0,7660.0,7480.0,7580.0,5055950
2020-05-15,7610.0,7670.0,7510.0,7640.0,5062250
2020-05-18,7630.0,8039.999999999999,7580.0,8039.999999999999,11745840
2020-05-19,8330.0,8330.0,8000.0,8010.0,7262590
2020-05-20,7850.0,7990.0,7830.0,7880.0,4798130
2020-05-21,7850.0,7930.0,7740.0,7910.0,6693720
2020-05-22,7910.0,7930.0,7720.0,7740.0,4840870
2020-05-25,7680.0,7770.0,7570.0,7680.0,5174030
2020-05-26,7780.0,7930.0,7700.0,7740.0,5056700
2020-05-27,7780.0,7830.0,7370.0,7370.0,7919070
2020-05-28,7410.0,7530.0,7290.0,7410.0,6455000
2020-05-29,7410.0,7490.0,7350.0,7480.0,3696450
2020-06-01,7610.0,7860.0,7490.0,7860.0,8948760
2020-06-02,7970.0,7970.0,7670.0,7720.0,5977010
2020-06-03,7740.0,7820.0,7670.0,7780.0,3922100
2020-06-04,7850.0,7880.0,7670.0,7680.0,5967540
2020-06-05,7660.0,7850.0,7630.0,7850.0,5507250
2020-06-08,7970.0,8010.0,7820.0,7830.0,8059810
2020-06-09,7830.0,7830.0,7680.0,7720.0,4906760
2020-06-10,7680.0,7850.0,7530.0,7740.0,5601590
2020-06-11,7780.0,7780.0,7410.0,7410.0,7897200
2020-06-12,7080.0,7460.0,7080.0,7410.0,6053520
2020-06-15,7410.0,7410.0,6930.0,6930.0,5816080
2020-06-16,7130.0,7210.0,7030.0,7100.0,3095910
2020-06-17,7130.0,7230.0,7050.0,7150.0,2786240
2020-06-18,7100.0,7230.0,7080.0,7130.0,1526680
