date,nav
2020-05-15,1000198412.6984127
2020-05-18,1000023808.7644242
2020-05-19,998929880.6629885
2020-05-20,995462279.9250249
2020-05-21,1006400191.9964385
2020-05-22,996500951.955168
2020-05-25,1000439629.128175
2020-05-26,1001099233.9752243
2020-05-27,1001297864.7756162
2020-05-28,1001101638.9868811
2020-05-29,1005669094.0739818
2020-06-01,1007630724.7989964
2020-06-02,1003976296.7682025
2020-06-03,1013293892.4620057
2020-06-04,1014007511.8851132
2020-06-05,1013863155.0422333
2020-06-08,1016046309.9380751
2020-06-09,1011038257.2217929
2020-06-10,1011578236.241083
2020-06-11,997635459.002242
2020-06-12,997833402.5456948
2020-06-15,998031385.3636602
2020-06-16,997938837.4639307
2020-06-17,995763014.8126339
2020-06-18,994532225.7282712
2020-06-19,1004501470.2175031
2020-06-22,1004040748.2869906
2020-06-23,999570529.9433968
2020-06-24,999768857.4294966
2020-06-25,999967224.2662882
2020-06-26,1000165630.4615791
2020-06-29,1000364076.0231786
2020-06-30,1000562560.9588975
2020-07-01,1000761085.276548
2020-07-02,1000959648.9839442
2020-07-03,1001158252.0889013
2020-07-06,1000960972.5992364
2020-07-07,1001023090.0376692
2020-07-08,999761631.6110893
2020-07-09,1003571357.4665678
2020-07-10,1001238120.3946365
2020-07-13,999722962.9740798
2020-07-14,999467793.7207017
2020-07-15,999933655.5845351
2020-07-16,1000090548.5717542
2020-07-17,996960606.6885344
2020-07-20,995200912.9597027
2020-07-21,996092252.6249725
2020-07-22,995055625.6909695
2020-07-23,993288622.1643208
2020-07-24,991620421.0972899
2020-07-27,985794253.3236982
2020-07-28,988068118.8501513
2020-07-29,979250201.6832565
2020-07-30,979444497.3581936
2020-07-31,979351119.5838599
2020-08-03,979701892.4250472
2020-08-04,980533698.1576712
2020-08-05,978605410.7882581
2020-08-06,978799578.5284939
2020-08-07,978993784.7940749
2020-08-10,979188029.5926452
2020-08-11,978972776.9318501
2020-08-12,979126388.9907651
2020-08-13,979928031.5282632
2020-08-14,977850316.5503918
2020-08-17,978044334.4703423
2020-08-18,978238390.8859118
2020-08-19,978432485.8047384
2020-08-20,978626619.2344615
2020-08-21,978820791.1827223
2020-08-24,978722331.6571634
2020-08-25,982180487.873762
2020-08-26,982345676.8594513
2020-08-27,982510898.6207329
2020-08-28,980863153.1641101
2020-08-31,980769440.4960871
2020-09-01,980964037.6072966
2020-09-03,980579961.3290441
2020-09-04,981987108.940419
2020-09-07,974192283.7636214
2020-09-08,975555241.8040507
2020-09-09,976259522.2091706
2020-09-10,975979469.2096089
2020-09-11,975764865.9296902
2020-09-14,973734855.0776922
2020-09-15,972336108.1283028
2020-09-16,971131875.5703918
2020-09-17,972044823.9187193
2020-09-18,979531041.6060047
2020-09-21,993118355.5031488
2020-09-22,991083683.3514628
2020-09-23,992452025.1537151
2020-09-24,989082703.9126742
2020-09-25,996207652.2745616
2020-09-28,1010903141.0944574
2020-09-29,1002866652.0351508
2020-09-30,1007202185.1010307
2020-10-01,1016991523.2964872
2020-10-02,1017144590.6622206
2020-10-05,1017297688.3984631
2020-10-06,1015791816.5112406
2020-10-07,1011520975.0065801
2020-10-08,1008356163.89051
2020-10-09,1014173319.1690596
2020-10-12,1018017911.891117
2020-10-13,1035030526.7545874
2020-10-14,1054458163.7638642
2020-10-15,1071261822.9233412
2020-10-16,1069612504.2374133
2020-10-19,1075880207.7104764
2020-10-20,1076811933.3469267
2020-10-21,1076923681.1511621
2020-10-22,1081025451.1275811
2020-10-23,1087018243.2805827
2020-10-26,1089664057.6145668
2020-10-27,1089775894.133935
2020-10-28,1084035752.8430884
2020-10-29,1077991633.7464304
2020-10-30,1078103536.848364
2020-11-02,1079735462.1532943
2020-11-03,1078327409.6656263
2020-11-04,1079047379.3897662
2020-11-05,1090559371.3301215
2020-11-06,1096789385.4910996
2020-11-09,1114457421.8771098
2020-11-10,1103270884.4925616
2020-11-11,1103431535.8585324
2020-11-12,1096065305.0997741
2020-11-13,1086883657.9857066
2020-11-16,1084632622.2035608
2020-11-17,1093410620.1444743
2020-11-18,1093580651.8151379
2020-11-19,1093041364.222244
2020-11-20,1093258237.508796
2020-11-23,1093148885.825762
2020-11-24,1099774412.5888228
2020-11-25,1099388975.9643364
2020-11-26,1097920575.9595675
2020-11-27,1098732212.5817816
2020-11-30,1097617342.8382463
2020-12-01,1097835124.0570633
2020-12-02,1097728212.4864397
2020-12-03,1097382799.8301868
2020-12-04,1095267423.99682
2020-12-07,1096680343.9936447
2020-12-08,1096897939.2999926
2020-12-09,1097115577.7800124
2020-12-10,1097333259.4422703
2020-12-11,1097550984.2953343
2020-12-14,1097444288.3477738
2020-12-15,1098189846.3414936
2020-12-16,1100559441.1522756
2020-12-17,1096174408.787425
