symbol,entry_date,exit_date,holding_days,reason,net_pnl,net_return_%,phase,tier
VPB,2020-05-18,2020-05-21,3,Time Stop T+3 (Không sinh lời),-3939592.0,-2.11,Phase 1,Tier 1
STB,2020-05-20,2020-05-25,3,Time Stop T+3 (Không sinh lời),-5401540.0,-1.93,Phase 1,Tier 1
CTG,2020-05-19,2020-05-26,5,Cycle Exit T+5 (+3.88% < Chuẩn Phase 2),9411134.0,3.36,Phase 1,Tier 1
ACB,2020-06-01,2020-06-08,5,Cycle Exit T+5 (+1.28% < Chuẩn Phase 2),1563632.0,0.78,Phase 1,Tier 1
VRE,2020-05-28,2020-06-11,10,Trailing Stop Phase 2 (Tiêu Chuẩn 2.0xATR),-6821684.0,-3.45,Phase 2,Tier 1
VIC,2020-06-16,2020-06-23,5,Cycle Exit T+5 (+0.84% < Chuẩn Phase 2),494900.0,0.34,Phase 1,Tier 1
VHM,2020-07-06,2020-07-09,3,Time Stop T+3 (Không sinh lời),-989805.0,-0.5,Phase 1,Tier 1
MCH,2020-07-07,2020-07-10,3,Time Stop T+3 (Không sinh lời),-229237.95,-0.52,Phase 1,Tier 1
VIB,2020-07-08,2020-07-13,3,Time Stop T+3 (Không sinh lời),-755160.0,-0.5,Phase 1,Tier 1
FPT,2020-07-13,2020-07-17,4,Time Stop T+4 (Không sinh lời),-3511064.0,-1.67,Phase 1,Tier 1
ACB,2020-07-17,2020-07-23,4,Time Stop T+4 (Không sinh lời),-4347640.0,-2.92,Phase 1,Tier 1
VRE,2020-07-23,2020-07-29,4,Hard Stop-Loss (-5.5%),-15004980.0,-10.15,Phase 1,Tier 1
VIC,2020-07-31,2020-08-05,3,Time Stop T+3 (Không sinh lời),-1530838.0,-1.06,Phase 1,Tier 1
ACB,2020-08-11,2020-08-14,3,Time Stop T+3 (Không sinh lời),-1992924.0,-0.97,Phase 1,Tier 1
VIC,2020-08-24,2020-08-31,5,Cycle Exit T+5 (+1.14% < Chuẩn Phase 2),928330.0,0.63,Phase 1,Tier 1
VIC,2020-09-03,2020-09-08,3,Time Stop T+3 (Không sinh lời),-6747844.0,-4.72,Phase 1,Tier 1
VRE,2020-09-03,2020-09-10,5,Cycle Exit T+5 (+1.07% < Chuẩn Phase 2),828522.0,0.56,Phase 1,Tier 1
SHB,2020-09-11,2020-09-16,3,Time Stop T+3 (Không sinh lời),-5621780.0,-2.75,Phase 1,Tier 1
