Date,Open,High,Low,Close,Volume
2020-01-02,760.15,777.13,760.15,777.13,127388016.0
2020-01-03,760.15,777.13,760.15,777.13,127388016.0
2020-01-06,760.15,777.13,760.15,777.13,127388016.0
2020-01-07,760.15,777.13,760.15,777.13,127388016.0
2020-01-08,760.15,777.13,760.15,777.13,127388016.0
2020-01-09,760.15,777.13,760.15,777.13,127388016.0
2020-01-10,760.15,777.13,760.15,777.13,127388016.0
2020-01-13,760.15,777.13,760.15,777.13,127388016.0
2020-01-14,760.15,777.13,760.15,777.13,127388016.0
2020-01-15,760.15,777.13,760.15,777.13,127388016.0
2020-01-16,760.15,777.13,760.15,777.13,127388016.0
2020-01-17,760.15,777.13,760.15,777.13,127388016.0
2020-01-20,760.15,777.13,760.15,777.13,127388016.0
2020-01-21,760.15,777.13,760.15,777.13,127388016.0
2020-01-22,760.15,777.13,760.15,777.13,127388016.0
2020-01-30,760.15,777.13,760.15,777.13,127388016.0
2020-01-31,760.15,777.13,760.15,777.13,127388016.0
2020-02-03,760.15,777.13,760.15,777.13,127388016.0
2020-02-04,760.15,777.13,760.15,777.13,127388016.0
2020-02-05,760.15,777.13,760.15,777.13,127388016.0
2020-02-06,760.15,777.13,760.15,777.13,127388016.0
2020-02-07,760.15,777.13,760.15,777.13,127388016.0
2020-02-10,760.15,777.13,760.15,777.13,127388016.0
2020-02-11,760.15,777.13,760.15,777.13,127388016.0
2020-02-12,760.15,777.13,760.15,777.13,127388016.0
2020-02-13,760.15,777.13,760.15,777.13,127388016.0
2020-02-14,760.15,777.13,760.15,777.13,127388016.0
2020-02-17,760.15,777.13,760.15,777.13,127388016.0
2020-02-18,760.15,777.13,760.15,777.13,127388016.0
2020-02-19,760.15,777.13,760.15,777.13,127388016.0
2020-02-20,760.15,777.13,760.15,777.13,127388016.0
2020-02-21,760.15,777.13,760.15,777.13,127388016.0
2020-02-24,760.15,777.13,760.15,777.13,127388016.0
2020-02-25,760.15,777.13,760.15,777.13,127388016.0
2020-02-26,760.15,777.13,760.15,777.13,127388016.0
2020-02-27,760.15,777.13,760.15,777.13,127388016.0
2020-02-28,760.15,777.13,760.15,777.13,127388016.0
2020-03-02,760.15,777.13,760.15,777.13,127388016.0
2020-03-03,760.15,777.13,760.15,777.13,127388016.0
2020-03-04,760.15,777.13,760.15,777.13,127388016.0
2020-03-05,760.15,777.13,760.15,777.13,127388016.0
2020-03-06,760.15,777.13,760.15,777.13,127388016.0
2020-03-09,760.15,777.13,760.15,777.13,127388016.0
2020-03-10,760.15,777.13,760.15,777.13,127388016.0
2020-03-11,760.15,777.13,760.15,777.13,127388016.0
2020-03-12,760.15,777.13,760.15,777.13,127388016.0
2020-03-13,760.15,777.13,760.15,777.13,127388016.0
2020-03-16,760.15,777.13,760.15,777.13,127388016.0
2020-03-17,760.15,777.13,760.15,777.13,127388016.0
2020-03-18,760.15,777.13,760.15,777.13,127388016.0
