Date,open,high,low,close,volume
2020-01-02,960.26,966.67,959.67,966.67,199078197
2020-01-03,968.72,970.88,965.14,965.14,163377030
2020-01-06,962.79,963.2,955.59,955.79,174743568
2020-01-07,955.79,959.46,953.19,958.88,170274833
2020-01-08,954.13,955.84,945.28,948.98,314889160
2020-01-09,960.01,960.73,952.16,960.15,156704789
2020-01-10,961.17,969.71,961.17,968.54,215612110
2020-01-13,966.89,968.63,964.79,965.84,140812853
2020-01-14,966.26,968.85,965.76,967.0,184399054
2020-01-15,967.69,967.69,964.84,967.56,145276529
2020-01-16,967.2,974.7,967.17,974.31,187338263
2020-01-17,976.28,980.02,973.79,978.96,155643394
2020-01-20,978.23,979.85,975.93,978.63,139621069
2020-01-21,978.82,986.37,978.82,986.37,150240335
2020-01-22,986.52,991.46,983.92,991.46,144045252
2020-01-30,975.15,977.72,954.0,959.58,191988780
2020-01-31,959.58,960.96,936.62,936.62,248951880
2020-02-03,916.6,930.37,891.85,928.14,268750540
2020-02-04,929.42,934.91,919.33,929.09,190295660
2020-02-05,934.75,936.33,921.89,925.91,187355088
2020-02-06,926.66,938.54,925.21,938.54,220891034
2020-02-07,938.61,943.48,935.94,940.75,183112320
2020-02-10,934.38,935.87,926.61,930.73,151372718
2020-02-11,930.73,936.04,930.73,934.67,176240010
2020-02-12,940.72,943.11,937.34,937.68,223996560
2020-02-13,937.19,939.1,934.47,938.24,175110780
2020-02-14,939.28,940.65,936.47,937.45,203731291
2020-02-17,938.52,938.52,931.66,934.77,180980659
2020-02-18,934.47,934.98,926.01,927.93,185672824
2020-02-19,926.41,931.66,925.86,928.76,190514987
2020-02-20,933.69,938.13,930.41,938.13,196076108
2020-02-21,938.13,940.53,932.32,933.09,204777789
2020-02-24,917.49,917.49,903.34,903.34,290227839
2020-02-25,893.95,909.67,893.95,909.67,215729307
2020-02-26,901.51,903.27,894.25,895.97,141350090
2020-02-27,892.15,899.34,889.14,898.44,162521398
2020-02-28,885.47,887.07,872.46,882.19,241346580
2020-03-02,878.43,886.45,877.31,884.43,205497912
2020-03-03,895.39,896.39,890.06,890.61,211917192
2020-03-04,887.85,889.85,882.83,889.37,237500826
2020-03-05,892.71,898.43,891.2,893.31,230725699
2020-03-06,888.96,891.44,882.71,891.44,210067994
2020-03-09,875.8,875.8,834.67,835.49,307929473
2020-03-10,813.83,843.28,806.63,837.5,293563642
2020-03-11,843.52,844.94,794.54,811.35,317715700
2020-03-12,778.06,778.06,762.12,769.25,337825235
2020-03-13,735.6,764.69,723.42,761.78,353511100
2020-03-16,758.28,758.59,737.58,747.86,290933937
2020-03-17,724.07,750.03,721.84,745.78,285882921
2020-03-18,747.4,752.65,742.12,747.66,258181937
2020-03-19,732.35,733.43,714.02,725.94,352024045
2020-03-20,728.55,729.35,709.73,709.73,228909653
2020-03-23,694.77,694.77,664.23,666.59,279065985
2020-03-24,666.59,666.59,652.27,659.21,243955927
2020-03-25,669.76,690.25,667.58,690.25,268953570
2020-03-26,689.0,700.76,680.1,694.21,220853680
2020-03-27,692.54,703.22,682.52,696.06,325102990
2020-03-30,663.91,665.56,657.36,662.26,232201218
2020-03-31,669.74,678.64,649.1,662.53,258685418
2020-04-01,658.8,684.96,657.41,680.23,265162596
2020-04-03,687.92,701.8,687.92,701.8,231696136
2020-04-06,716.22,736.75,715.39,736.75,332849528
2020-04-07,744.97,749.13,730.28,746.69,291169450
2020-04-08,740.03,748.36,730.12,748.02,251864140
2020-04-09,751.08,765.87,751.08,760.33,297983597
