Date,Open,High,Low,Close,Volume
2020-01-02,4870.0,4960.0,4860.0,4950.0,2849190
2020-01-03,5010.0,5020.0,4950.0,4960.0,3476230
2020-01-06,4930.0,4950.0,4890.0,4890.0,2609270
2020-01-07,4900.0,4930.0,4870.0,4900.0,2684180
2020-01-08,4860.0,4900.0,4830.0,4830.0,4163950
2020-01-09,4890.0,4930.0,4850.0,4910.0,3298470
2020-01-10,4930.0,5060.0,4930.0,5000.0,8593950
2020-01-13,5010.0,5040.0,4960.0,4970.0,2921820
2020-01-14,4970.0,5060.0,4960.0,5020.0,4557920
2020-01-15,5020.0,5040.0,5010.0,5010.0,3625930
2020-01-16,5030.0,5160.0,5020.0,5130.0,8169550
2020-01-17,5140.0,5190.0,5110.0,5130.0,4776330
2020-01-20,5130.0,5160.0,5100.0,5130.0,4308990
2020-01-21,5160.0,5270.0,5140.0,5260.0,5239140
2020-01-22,5260.0,5270.0,5210.0,5230.0,4991520
2020-01-30,5110.0,5160.0,4950.0,4960.0,8995010
2020-01-31,4910.0,5030.0,4860.0,4860.0,8065490
2020-02-03,4700.0,4860.0,4550.0,4750.0,14421110
2020-02-04,4830.0,5030.0,4700.0,4930.0,9461800
2020-02-05,5000.0,5040.0,4910.0,4930.0,7177000
2020-02-06,4930.0,5130.0,4870.0,5100.0,12119010
2020-02-07,5070.0,5100.0,5000.0,5000.0,8050600
2020-02-10,4920.0,4970.0,4890.0,4900.0,6111600
2020-02-11,4920.0,4970.0,4910.0,4950.0,4331600
2020-02-12,5010.0,5110.0,4970.0,5060.0,10980490
2020-02-13,5030.0,5070.0,4990.0,5000.0,6581630
2020-02-14,5040.0,5110.0,5030.0,5070.0,9083550
2020-02-17,5130.0,5180.0,5100.0,5110.0,9693630
2020-02-18,5140.0,5160.0,5070.0,5070.0,5400900
2020-02-19,5070.0,5100.0,5020.0,5040.0,4586120
2020-02-20,5100.0,5110.0,5040.0,5060.0,6104470
2020-02-21,5070.0,5070.0,4930.0,4950.0,8795360
2020-02-24,4830.0,4860.0,4680.0,4680.0,12138250
2020-02-25,4660.0,4860.0,4630.0,4860.0,11926410
2020-02-26,4750.0,4870.0,4750.0,4790.0,5079630
2020-02-27,4800.0,4870.0,4770.0,4870.0,4046120
2020-02-28,4790.0,4850.0,4750.0,4760.0,7020070
2020-03-02,4790.0,4860.0,4770.0,4830.0,4996110
2020-03-03,4910.0,4930.0,4860.0,4870.0,5788700
2020-03-04,4860.0,4870.0,4810.0,4850.0,3856070
2020-03-05,4870.0,4890.0,4830.0,4830.0,4512210
2020-03-06,4790.0,4830.0,4760.0,4830.0,3822460
2020-03-09,4560.0,4650.0,4490.0,4490.0,12282460
2020-03-10,4410.0,4560.0,4380.0,4470.0,7083800
2020-03-11,4540.0,4550.0,4180.0,4250.0,7990830
2020-03-12,4059.9999999999995,4110.0,3960.0,3960.0,15483860
2020-03-13,3700.0,4180.0,3680.0,3990.0,11673000
2020-03-16,4010.0,4040.0,3830.0,3840.0,4256130
2020-03-17,3730.0,3900.0,3670.0,3900.0,9350190
2020-03-18,3960.0,3960.0,3850.0,3850.0,5287310
2020-03-19,3790.0,3830.0,3730.0,3760.0,3879280
2020-03-20,3770.0,3800.0,3720.0,3730.0,4348520
2020-03-23,3550.0,3640.0,3470.0,3470.0,9616920
2020-03-24,3500.0,3500.0,3370.0,3450.0,7412520
2020-03-25,3570.0,3650.0,3510.0,3650.0,6925670
2020-03-26,3620.0,3630.0,3510.0,3510.0,4627510
2020-03-27,3520.0,3530.0,3390.0,3420.0,5378700
2020-03-30,3270.0,3290.0,3180.0,3180.0,7287180
2020-03-31,3220.0,3290.0,3070.0,3170.0,5690150
2020-04-01,3150.0,3340.0,3120.0,3320.0,6406330
2020-04-03,3340.0,3480.0,3320.0,3430.0,5151710
2020-04-06,3550.0,3670.0,3530.0,3670.0,7996310
2020-04-07,3770.0,3790.0,3670.0,3720.0,12576310
2020-04-08,3620.0,3700.0,3600.0,3670.0,4976890
2020-04-09,3730.0,3760.0,3670.0,3680.0,7173300
2020-04-10,3680.0,3720.0,3610.0,3630.0,8220670
2020-04-13,3630.0,3750.0,3620.0,3670.0,6297620
2020-04-14,3730.0,3730.0,3620.0,3710.0,7022430
2020-04-15,3730.0,3850.0,3710.0,3820.0,10310960
2020-04-16,3790.0,3850.0,3730.0,3850.0,4540410
2020-04-17,3900.0,4010.0,3870.0,3970.0,7574590
2020-04-20,3970.0,4010.0,3870.0,3890.0,10896580
2020-04-21,3830.0,3840.0,3650.0,3650.0,10667070
2020-04-22,3560.0,3770.0,3560.0,3760.0,5228620
2020-04-23,3830.0,3840.0,3750.0,3770.0,3568320
2020-04-24,3730.0,3770.0,3710.0,3750.0,2664100
2020-04-27,3760.0,3790.0,3670.0,3670.0,4853010
2020-04-28,3680.0,3720.0,3640.0,3680.0,2897820
2020-04-29,3720.0,3760.0,3700.0,3720.0,2734790
